Country/Territory of Seizure,Year,Quantity Seized,,,,,
New Zealand,2012,17.2382,,,,,
New Zealand,2013,738.141,,,,,
New Zealand,2016,367.997126,,,,,
New Zealand,2019,56.2816,,,,,
New Zealand,2020,8.114,,,,,
Nicaragua,2019,2111.813,,,,,
Nicaragua,2022,1005.342,,,,,
Nicaragua,2023,103.488,,,,,
Niger,2022,214.6601,,,,,
Nigeria,2011,0.95,,,,,
Nigeria,2012,72.387,,,,,
Nigeria,2013,28.485,,,,,
Nigeria,2018,8.6805,,,,,
Nigeria,2019,38.468702,,,,,
Nigeria,2020,16.457589,,,,,
Nigeria,2021,152.959814,,,,,
Nigeria,2022,7.6962600000000005,,,,,
Nigeria,2023,36.15953,,,,,
Pakistan,2011,0.102,,,,,
Pakistan,2012,1.925,,,,,
Pakistan,2013,3.625,,,,,
Pakistan,2014,6.367,,,,,
Pakistan,2015,1.22,,,,,
Pakistan,2016,3.1,,,,,
Pakistan,2017,4.16,,,,,
Pakistan,2018,1.26,,,,,
Pakistan,2019,2.555,,,,,
Pakistan,2020,1.263,,,,,
Pakistan,2021,2.9979999999999998,,,,,
Pakistan,2022,15.411000000000001,,,,,
Pakistan,2023,3.465,,,,,
Pakistan,2024,9.477,,,,,
Panama,2023,6848.02358,,,,,
Paraguay,2012,8147.546,,,,,
Paraguay,2013,1362.501,,,,,
Peru,2011,9186.578,,,,,
Peru,2012,10897.594000000001,,,,,
Peru,2013,29641.974,,,,,
Peru,2014,35458.06,,,,,
Peru,2015,11784.432,,,,,
Peru,2017,6910.539,,,,,
Peru,2018,4715.311245,,,,,
Peru,2022,32390.33255,,,,,
Peru,2023,15564.006,,,,,
Peru,2024,210.416,,,,,
Philippines,2013,1.8018,,,,,
Philippines,2015,17.66811,,,,,
Philippines,2018,57.63,,,,,
Philippines,2019,111.96417000000001,,,,,
Philippines,2022,0.38944,,,,,
Philippines,2023,3.2986831,,,,,
Philippines,2024,25.2885635,,,,,
Poland,2011,2,,,,,
Poland,2020,1.79,,,,,
