DEPARTURE_COUNTRY,DESTINATION_COUNTRY,seizure_count,total_quantity_kg,avg_quantity_kg,primary_drug,first_year,last_year
France,Russian Federation,2,3.386,1.693,Non-specified cocaine-type,2011.0,2013.0
France,Spain,6,4.166,0.694,Non-specified cocaine-type,2012.0,2016.0
Germany,Austria,2,1.141,0.57,Non-specified cocaine-type,2014.0,2015.0
Germany,China,2,6.004,3.002,Non-specified cocaine-type,2014.0,2014.0
Germany,Czech Republic,2,3.0,1.5,Non-specified cocaine-type,2012.0,2012.0
Germany,Italy,1,0.003,0.003,Non-specified cocaine-type,2013.0,2013.0
Germany,Morocco,1,3.193,3.193,Non-specified cocaine-type,2016.0,2016.0
Germany,Norway,1,6.0,6.0,Non-specified cocaine-type,2012.0,2012.0
Germany,Russian Federation,6,0.006,0.001,Non-specified cocaine-type,2014.0,2014.0
Germany,Spain,8,7.712,0.964,Non-specified cocaine-type,2011.0,2015.0
Germany,Sweden,1,1.49,1.49,Non-specified cocaine-type,2012.0,2012.0
Germany,Turkey,1,0.001,0.001,Non-specified cocaine-type,2014.0,2014.0
Germany,United Kingdom,2,7.5,3.75,Non-specified cocaine-type,2014.0,2014.0
Germany,Viet Nam,1,3.0,3.0,Non-specified cocaine-type,2014.0,2014.0
Ghana,Egypt,1,0.9,0.9,Non-specified cocaine-type,2012.0,2012.0
Ghana,India,1,0.063,0.063,Non-specified cocaine-type,2012.0,2012.0
Ghana,Nigeria,6,5.536,0.923,Non-specified cocaine-type,2012.0,2012.0
Ghana,Spain,3,14736.428,4912.143,Non-specified cocaine-type,2013.0,2016.0
Greece,Cyprus,2,2.481,1.24,Non-specified cocaine-type,2013.0,2013.0
Greece,Italy,1,2.118,2.118,Non-specified cocaine-type,2012.0,2012.0
Greece,Slovakia,2,0.78,0.39,Non-specified cocaine-type,2016.0,2016.0
Greece,Spain,1,1.342,1.342,Non-specified cocaine-type,2016.0,2016.0
Guatemala,Austria,1,0.679,0.679,Non-specified cocaine-type,2014.0,2014.0
Guatemala,El Salvador,1,1.014,1.014,Non-specified cocaine-type,2014.0,2014.0
Guatemala,France,1,3.05,3.05,Non-specified cocaine-type,2015.0,2015.0
Guatemala,Guatemala,22,111.201,5.055,Non-specified cocaine-type,2013.0,2014.0
Guatemala,Italy,1,1.0,1.0,Non-specified cocaine-type,2015.0,2015.0
Guatemala,Mexico,55,9081.211,165.113,Non-specified cocaine-type,2013.0,2014.0
Guatemala,Netherlands,1,3.37,3.37,Non-specified cocaine-type,2012.0,2012.0
Guatemala,Panama,1,3.54,3.54,Non-specified cocaine-type,2015.0,2015.0
Guatemala,Spain,22,57.138,2.597,Non-specified cocaine-type,2011.0,2015.0
Guinea,Spain,1,1.0,1.0,Non-specified cocaine-type,2016.0,2016.0
