iso3_code,country,region,subregion,year,unit_of_measurement,value_total,value_drug,drug_prisoner_percentage
KEN,Kenya,Africa,Sub-Saharan Africa,2010,"Rate per 100,000 population",115.76,8.48,7.32
KOR,Republic of Korea,Asia,Eastern Asia,2010,"Rate per 100,000 population",93.67,8.46,9.03
LIE,Liechtenstein,Europe,Western Europe,2010,"Rate per 100,000 population",211.12,5.56,2.63
LTU,Lithuania,Europe,Northern Europe,2010,"Rate per 100,000 population",295.02,24.05,8.15
LVA,Latvia,Europe,Northern Europe,2010,"Rate per 100,000 population",323.19,58.68,18.16
MCO,Monaco,Europe,Western Europe,2010,"Rate per 100,000 population",36.18,0.0,0.0
MEX,Mexico,Americas,Latin America and the Caribbean,2010,"Rate per 100,000 population",165.47,4.37,2.64
MUS,Mauritius,Africa,Sub-Saharan Africa,2010,"Rate per 100,000 population",187.1,50.91,27.21
NLD,Netherlands (Kingdom of the),Europe,Western Europe,2010,"Rate per 100,000 population",85.67,6.17,7.2
NOR,Norway,Europe,Northern Europe,2010,"Rate per 100,000 population",72.9,32.81,45.01
NZL,New Zealand,Oceania,Australia and New Zealand,2010,"Rate per 100,000 population",194.38,16.84,8.66
PRT,Portugal,Europe,Southern Europe,2010,"Rate per 100,000 population",111.91,36.87,32.94
PRY,Paraguay,Americas,Latin America and the Caribbean,2010,"Rate per 100,000 population",111.83,5.37,4.8
PSE,State of Palestine,Asia,Western Asia,2010,"Rate per 100,000 population",311.68,5.0,1.61
ROU,Romania,Europe,Eastern Europe,2010,"Rate per 100,000 population",138.23,5.16,3.74
